id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-10 21:00:00FR23251_PM2.5_1,FR23251,39,44109,3.7,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23252_NO2_1,FR23252,3,53130,4.7,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23252_PM2.5_1,FR23252,39,53130,5.0,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23259_PM10_1,FR23259,24,44109,7.6,2026-06-10 21:00:00+00:00
2026-06-10 21:00:00FR23259_PM2.5_1,FR23259,39,44109,3.8,2026-06-10 21:00:00+00:00
2026-06-10 20:00:00FR23001_SO2_A,FR23001,1,44052,0.28,2026-06-10 20:00:00+00:00
2026-06-10 20:00:00FR23003_NO2_A,FR23003,3,44052,0.7,2026-06-10 20:00:00+00:00
2026-06-10 20:00:00FR23003_PM10_1,FR23003,24,44052,6.6,2026-06-10 20:00:00+00:00
2026-06-10 20:00:00FR23003_PM2.5_1,FR23003,39,44052,3.4,2026-06-10 20:00:00+00:00
2026-06-10 20:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-10 20:00:00+00:00
2026-06-10 20:00:00FR23068_NO2_A,FR23068,3,44061,0.65,2026-06-10 20:00:00+00:00
2026-06-10 20:00:00FR23068_PM10_4,FR23068,24,44061,7.0,2026-06-10 20:00:00+00:00
2026-06-10 20:00:00FR23068_PM2.5_1,FR23068,39,44061,3.4,2026-06-10 20:00:00+00:00
